    PID COMMAND
    982 avahi-daemon
    911 avahi-daemon
   2848 bash
   3029 bash
     20 cpuhp/0
     21 cpuhp/1
    912 dbus-daemon
     52 ecryptfs-kthread
   1794 fusermount3
   1708 gdm-session-wor
   2528 gjs
     19 idle_inject/0
     22 idle_inject/1
    490 irq/18-vmwgfx
     42 irq/9-acpi
    276 jbd2/dm-0-8
    501 jbd2/sda2-8
     30 kauditd
     35 kcompactd0
     27 kdevtmpfs
     38 khugepaged
     31 khungtaskd
     36 ksmd
     16 ksoftirqd/0
     24 ksoftirqd/1
     51 kswapd0
      2 kthreadd
   3096 kworker/0:0-events
     10 kworker/0:0H-kblockd
   3046 kworker/0:1-events
    130 kworker/0:2-events
    451 kworker/0:2H-kblockd
     25 kworker/1:0-events
     26 kworker/1:0H-events_highpri
   3091 kworker/1:1
     50 kworker/1:1H-kblockd
    550 kworker/1:3-cgroup_destroy
     54 kworker/R-acpi_
     44 kworker/R-ata_s
     41 kworker/R-blkcg
     86 kworker/R-charg
    487 kworker/R-crypt
     48 kworker/R-devfr
     47 kworker/R-edac-
    277 kworker/R-ext4-
    502 kworker/R-ext4-
     28 kworker/R-inet_
     62 kworker/R-ipv6_
     40 kworker/R-kbloc
    232 kworker/R-kdmfl
     39 kworker/R-kinte
     71 kworker/R-kstrp
     53 kworker/R-kthro
     45 kworker/R-md
     46 kworker/R-md_bi
     61 kworker/R-mld
     12 kworker/R-mm_pe
      7 kworker/R-netns
      4 kworker/R-rcu_g
      5 kworker/R-rcu_p
     56 kworker/R-scsi_
     58 kworker/R-scsi_
    142 kworker/R-scsi_
    144 kworker/R-scsi_
    147 kworker/R-scsi_
    149 kworker/R-scsi_
    151 kworker/R-scsi_
    153 kworker/R-scsi_
    155 kworker/R-scsi_
    157 kworker/R-scsi_
    159 kworker/R-scsi_
    161 kworker/R-scsi_
    163 kworker/R-scsi_
    165 kworker/R-scsi_
    167 kworker/R-scsi_
    169 kworker/R-scsi_
    171 kworker/R-scsi_
    173 kworker/R-scsi_
    175 kworker/R-scsi_
    177 kworker/R-scsi_
    179 kworker/R-scsi_
    181 kworker/R-scsi_
    183 kworker/R-scsi_
    185 kworker/R-scsi_
    187 kworker/R-scsi_
    189 kworker/R-scsi_
    191 kworker/R-scsi_
    193 kworker/R-scsi_
    195 kworker/R-scsi_
    197 kworker/R-scsi_
    199 kworker/R-scsi_
    201 kworker/R-scsi_
      6 kworker/R-slub_
     43 kworker/R-tpm_d
    491 kworker/R-ttm
     34 kworker/R-write
   3061 kworker/u4:0-events_unbound
    224 kworker/u4:28-events_unbound
    226 kworker/u4:30-events_unbound
   1323 kworker/u5:4-ttm
   2966 kworker/u5:9-ttm
     18 migration/0
     23 migration/1
     32 oom_reaper
      3 pool_workqueue_release
   3122 ps
    422 psimon
